condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Używany,,HDD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,,8 GB,,,750 GB,matowa,1366 x 768,,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,,8 GB,,,120 GB,matowa,1366 x 768,,,
Używany,,SSD,brak systemu,Intel Core i5,2,2.7 GHz,8 GB,DDR3L,1600,256 GB,błyszcząca,1366 x 768,NVIDIA GeForce GT 920M,2.3 kg,32 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3L,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,54 Wh
Powystawowy,,eMMC,Windows 10 Home,Inny procesor,4,,2 GB,,,32 GB,błyszcząca,1920 x 1080,,,
Używany,,HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,8 GB,DDR4,,1024 GB,błyszcząca antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 960M,2.6 kg,60 Wh
Nowy,,HDD,Windows 10 Home,Intel Celeron,2,,4 GB,,,500 GB,błyszcząca,1366 x 768,,,
Odnowiony przez producenta,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3L,,1000 GB,matowa,1366 x 768,Intel HD Graphics 505,2.2 kg,30 Wh
Nowy,IPS,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.58 GHz,2 GB,DDR3,1600,32 GB,błyszcząca,1920 x 1080,,,
Nowy,,HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,6 GB,DDR4,2133,1500 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 960M,3 kg,
Używany,,HDD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit, inny",Intel Core i5,2,,4 GB,,,320 GB,matowa,1366 x 768,,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,3.3 GHz,4 GB,DDR3,,120 GB,matowa,1366 x 768,,,
Używany,,HDD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit",Intel Celeron,2,,2 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Nowy,IPS,HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,2048 GB,matowa,1920 x 1080,,2.4 kg,
Używany,,HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,,1024 GB,matowa,1920 x 1080,,,
Używany,,HDD,Windows 7 Home 64-bit,AMD Turion,2,2.3 GHz,4 GB,,,500 GB,błyszcząca,1600 x 900,,,
Nowy,,HDD,Windows 10 Home,AMD A6,4,2.4 GHz,8 GB,DDR3,1600,500 GB,błyszcząca,1366 x 768,,,
Używany,,HDD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit, inny",Intel Core i5,2,,4 GB,,,320 GB,matowa,1366 x 768,,,
Używany,,eMMC,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Inny procesor,4,2.2 GHz,4 GB,DDR3,,64 GB,błyszcząca,1280 x 800,,1 kg,
Nowy,,SSD,Mac OS,Intel Core i5,2,,8 GB,,,128 GB,błyszcząca,2560 x 1600,,1.37 kg,54 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3L,1600,500 GB,błyszcząca,1366 x 768,Intel HD Graphics 505,1.9 kg,33 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,Intel HD Graphics 620,2.2 kg,30 Wh
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i7,2,3.6 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,NVIDIA Quadro NVS 5200M,3 kg,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Używany,,HDD,brak systemu,Intel Core i5,2,,8 GB,,,500 GB,matowa,1440 x 900,,,
Nowy,TN,SSD,Windows 10 Home,AMD A12,4,3.6 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,,2.2 kg,30 Wh
Nowy,IPS,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.16 GHz,2 GB,DDR3,1600,500 GB,matowa,1920 x 1080,Intel HD Graphics 400,3 kg,35 Wh
Powystawowy,,HDD,Windows 10 Home,Intel Core i5,4,,8 GB,,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,Intel HD Graphics 620,2.18 kg,42 Wh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,,16 GB,DDR4,,1512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1080,,
Używany,,Brak,brak systemu,Intel Celeron,2,,brak,DDR3,,0 GB,matowa,1366 x 768,,,
Nowy,TN,eMMC,Windows 10 Home,Inny procesor,4,,4 GB,DDR3L,,32 GB,matowa,1920 x 1080,Intel HD Graphics 400,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,8 GB,DDR3L,,256 GB,błyszcząca antyrefleksyjna,1920 x 1080,Intel HD Graphics 4400,1.37 kg,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.43 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,256 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1060,3.73 kg,86 mAh
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.2 GHz,8 GB,DDR3L,1600,256 GB,matowa,1920 x 1080,Intel HD Graphics 5500,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,2.9 GHz,8 GB,,,256 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Używany,IPS,SSD,Windows 8.1 Home 64-bit,Intel Core i5,2,2.7 GHz,8 GB,DDR3L,,256 GB,błyszcząca,3200 x 1800,Intel HD Graphics 5500,1.29 kg,52 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,3.6 GHz,8 GB,DDR3L,2133,128 GB,błyszcząca,2560 x 1600,,1.35 kg,54 Wh
Nowy,,SSD,Windows 10 Professional,Intel Core i5,2,3.5 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,,
Nowy,IPS,HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR3,2133,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,4050 mAh
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,,8 GB,DDR3L,,256 GB,błyszcząca,2560 x 1600,,1.37 kg,54 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR3L,1600,1000 GB,matowa,1366 x 768,Intel HD Graphics 500,2.2 kg,30 Wh
Nowy,TN,SSD + HDD,"Windows 8.1 Professional 32-bit, Windows 8.1 Professional 64-bit, Windows 10 Professional, Linux, inny",Intel Core i5,2,3.3 GHz,16 GB,DDR3,,1128 GB,antyrefleksyjna,1366 x 768,Intel HD Graphics 4600,2.575 kg,56 Wh
Nowy,IPS,SSD,Mac OS,Intel Core m3,2,2.2 GHz,8 GB,DDR3L,,256 GB,błyszcząca,2304 x 1440,Intel HD Graphics 515,0.92 kg,41.4 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3L,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,54 Wh
Używany,,eMMC,Windows 10 Professional,Intel Celeron Dual-Core,2,,4 GB,,,48 GB,matowa,1366 x 768,,,
Używany,,SSD,Windows 10 Home,Intel Core i5,4,,8 GB,,,512 GB,błyszcząca,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,,8 GB,,,256 GB,antyrefleksyjna,Inna,,1.9 kg,
